id;Name;Quant;Type;Date;Status;Province;lat;lon;;;;;;
Donetsk Oblast;БТР-70Т;1;APC;16.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Donetsk Oblast;МТ-ЛБ;1;APC;16.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.694332;37.503432;;;;;;
;2С1;1;ARTY;15.03.2022;DESTROYED;;;;;;;;;
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;14.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.767665;37.577957;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;14.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.769008;37.573465;;;;;;
Luhansk Oblast;9П148;1;RECCE;14.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.633795;38.376550;;;;;;
Luhansk Oblast;Т-72АВ;1;MBT;13.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.072440;38.402439;;;;;;
Luhansk Oblast;Т-72АВ;1;MBT;13.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.072440;38.402439;;;;;;
Chernihiv Oblast;Т-64БВ;1;MBT;12.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320;;;;;;
Donetsk Oblast;БТР-4Е;1;APC;12.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;11.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.618446;37.493348;;;;;;
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.592434;30.223679;;;;;;
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.592434;30.223679;;;;;;
Kherson Oblast;Т-64БВ ОБР. 2017;1;MBT;11.03.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.670195;32.720209;;;;;;
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.592295;30.224100;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;11.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.593245;37.504082;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;11.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.594493;37.500520;;;;;;
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.592295;30.224100;;;;;;
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.592295;30.224100;;;;;;
;Т-64БВ;1;MBT;09.03.2022;DESTROYED;;;;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;09.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.717179;37.576160;;;;;;
Kherson Oblast;5П85С;1;AA;08.03.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;;;;;;
Chernihiv Oblast;Т-64БВ;1;MBT;06.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320;;;;;;
Donetsk Oblast;БРДМ-2Л1;1;RECCE;05.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.355068;37.139175;;;;;;
Kharkiv Oblast;БТР-4Е;1;APC;05.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.053756;36.347771;;;;;;
Kherson Oblast;БРДМ-2РХБ;1;RECCE;05.03.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;04.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.585948;37.658922;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;04.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512;;;;;;
Zaporizhia Oblast;БТР-80;1;APC;04.03.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;46.905397;36.327924;;;;;;
Kharkiv Oblast;9А33Б;1;AA;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.974913;36.009798;;;;;;
Kharkiv Oblast;БТР-4Е;1;APC;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;;;;;;
Kharkiv Oblast;БТР-4Е;1;APC;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;;;;;;
;БТР-4Е;1;APC;03.03.2022;DESTROYED;;;;;;;;;
Kharkiv Oblast;БТР-4Е;1;APC;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;;;;;;
Kharkiv Oblast;9А33Б;1;AA;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;;;;;;
Kharkiv Oblast;Т-64БМ2;1;MBT;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191;;;;;;
Kharkiv Oblast;Т-64БМ2;1;MBT;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191;;;;;;
Kharkiv Oblast;РХМ;1;APC;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191;;;;;;
Kharkiv Oblast;Т-64БМ2;1;MBT;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191;;;;;;
Donetsk Oblast;Т-80БВ;1;MBT;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.205705;37.749993;;;;;;
;9А33Б;1;AA;02.03.2022;DESTROYED;;;;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.602295;37.515090;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.602295;37.515090;;;;;;
Donetsk Oblast;БРДМ-2Л1;1;RECCE;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.514305;37.536670;;;;;;
Donetsk Oblast;МТ-ЛБ;1;APC;01.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.099641; 37.821589;;;;;;
